	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(a.u.)	Measured pAkt:30min log10(a.u.)	Measured pAkt:90min log10(a.u.)	Measured pErk:10min log10(a.u.)	Measured pErk:30min log10(a.u.)	Measured pErk:90min log10(a.u.)	Control pAkt (a.u.)	Control pErk (a.u.)
150	50583	MCF 10A	200863.0	EFNA1	1.0	ng/ml	3.5077383805	3.60017508602	3.52142917273	3.35851333039	3.1763844536	3.62025393378	3.53198802041	3.34901512268
151	50583	MCF 10A	200863.0	EFNA1	100.0	ng/ml	3.41001710134	3.26106745181	3.45230298468	3.49673514018	3.28664146584	3.49365640089	3.53198802041	3.34901512268
152	50584	MCF 10F	200863.0	EFNA1	1.0	ng/ml	3.26948702587	3.32805896354	3.33571038006	2.61004767422	2.61004767422	2.61004767422	3.29738206154	2.61004767422
153	50584	MCF 10F	200863.0	EFNA1	100.0	ng/ml	3.38339145285	3.14652027458	3.37535190726	2.61004767422	2.61004767422	2.61004767422	3.29738206154	2.61004767422
154	51089	MCF12A	200863.0	EFNA1	1.0	ng/ml	3.37272039268	3.08718491789	3.21489733712	3.81257180009	3.85457570657	3.86136741134	3.29460178425	3.8111076869
155	51089	MCF12A	200863.0	EFNA1	100.0	ng/ml	3.50386296869	3.10017334445	3.35188787001	3.8390495123	3.84388833567	3.97105641892	3.29460178425	3.8111076869
156	50029	MCF7	200850.0	EGF	1.0	ng/ml	2.94895500641	2.94895500641	2.94895500641	4.10239452822	3.52722118828	3.39904639655	3.11238411199	2.39581197208
157	50029	MCF7	200850.0	EGF	100.0	ng/ml	2.94895500641	3.37283194555	2.94895500641	4.39483577399	3.82240635271	2.99627213122	3.11238411199	2.39581197208
158	50057	SK-BR-3	200850.0	EGF	1.0	ng/ml	4.31487195495	4.32758816093	4.01576175282	4.58678342422	4.56515444776	4.42412546959	3.98253250019	3.3860141044
159	50057	SK-BR-3	200850.0	EGF	100.0	ng/ml	4.63471045694	4.60023473002	4.52004854886	4.64417501782	4.5991174938	4.48314890188	3.98253250019	3.3860141044
160	50058	MDA-MB-231	200850.0	EGF	1.0	ng/ml	3.66670588458	3.4957639268	3.52017463495	3.99217773254	4.02343663553	3.83224078084	3.08650967202	2.45109838573
161	50058	MDA-MB-231	200850.0	EGF	100.0	ng/ml	3.96008325968	3.77979130294	3.29093767248	4.26541159785	4.0209294719	3.84472736664	3.08650967202	2.45109838573
162	50091	AU565	200850.0	EGF	1.0	ng/ml	3.97518573051	4.11094558493	3.84250046517	4.58521917205	4.565822728	4.41104179413	3.96709252386	3.98127061579
163	50091	AU565	200850.0	EGF	100.0	ng/ml	4.39609927342	4.46120692337	4.32721689176	4.67548846792	4.62298398988	4.48608840634	3.96709252386	3.98127061579
164	50105	BT-20	200850.0	EGF	1.0	ng/ml	4.11371789496	4.12914594259	4.15608247326	4.43292794279	4.40056594566	4.3236752331	3.89252161597	2.62108068491
165	50105	BT-20	200850.0	EGF	100.0	ng/ml	4.14042928467	4.17533489946	4.16354208074	4.47272838743	4.44176331374	4.36079109183	3.89252161597	2.62108068491
166	50106	BT-474	200850.0	EGF	1.0	ng/ml	4.30818270696	4.29356173196	4.26338794102	4.29496956165	4.19352240802	4.207686275	4.32148771993	3.89930232186
167	50106	BT-474	200850.0	EGF	100.0	ng/ml	4.59013779204	4.50353324304	4.58938857498	4.61578192717	4.38192208208	4.18854709293	4.32148771993	3.89930232186
168	50107	BT-483	200850.0	EGF	1.0	ng/ml	3.53606301389	3.4853624885	3.53486138267	3.77570807138	3.42612070875	3.4534671063	3.48765215163	2.53222041631
169	50107	BT-483	200850.0	EGF	100.0	ng/ml	3.63873159554	3.52843588352	3.46126015466	4.49814664908	3.80714730472	2.98796730715	3.48765215163	2.53222041631
170	50108	BT-549	200850.0	EGF	1.0	ng/ml	4.04546130498	4.04570999352	4.02690203352	3.87340634762	3.64716694292	3.74312507917	3.99393549229	3.37862970508
171	50108	BT-549	200850.0	EGF	100.0	ng/ml	4.27592349702	4.19936279155	4.07024431993	4.34169870103	4.1895633263	3.80718494848	3.99393549229	3.37862970508
172	50131	CAMA-1	200850.0	EGF	1.0	ng/ml	3.67792616955	3.59676143674	3.69701170496	1.84641752959	1.84641752959	1.84641752959	3.75351036401	1.88562126646
173	50131	CAMA-1	200850.0	EGF	100.0	ng/ml	3.66368255463	3.83694617985	3.72421383481	3.95423078333	3.73001771298	3.70798179433	3.75351036401	1.88562126646
